Year,Anomaly,CO2
1880,-0.11,290.7
1881,-0.13,291.2
1882,-0.01,291.7
1883,-0.04,292.1
1884,-0.42,292.6
1885,-0.23,293
1886,-0.25,293.3
1887,-0.45,293.6
1888,-0.23,293.8
1889,0.04,294
1890,-0.22,294.2
1891,-0.55,294.3
1892,-0.4,294.5
1893,-0.39,294.6
1894,-0.32,294.7
1895,-0.32,294.8
1896,-0.27,294.9
1897,-0.15,295
1898,-0.21,295.2
1899,-0.25,295.5
1900,-0.05,295.8
1901,-0.05,296.1
1902,-0.3,296.5
1903,-0.35,296.8
1904,-0.42,297.2
1905,-0.25,297.6
1906,-0.15,298.1
1907,-0.41,298.5
1908,-0.3,298.9
1909,-0.31,299.3
1910,-0.21,299.7
1911,-0.25,300.1
1912,-0.33,300.4
1913,-0.28,300.8
1914,-0.02,301.1
1915,0.06,301.4
1916,-0.2,301.7
1917,-0.46,302.1
1918,-0.33,302.4
1919,-0.09,302.7
1920,-0.15,303
1921,-0.04,303.4
1922,-0.09,303.8
1923,-0.16,304.1
1924,-0.11,304.5
1925,-0.15,305
1926,0.04,305.4
1927,-0.05,305.8
1928,0.01,306.3
1929,-0.22,306.8
1930,-0.03,307.2
1931,0.03,307.7
1932,0.04,308.2
1933,-0.11,308.6
1934,0.05,309
1935,-0.08,309.4
1936,0.01,309.8
1937,0.12,310
1938,0.15,310.2
1939,-0.02,310.3
1940,0.14,310.4
1941,0.11,310.4
1942,0.1,310.3
1943,0.06,310.2
1944,0.1,310.1
1945,-0.01,310.1
1946,0.01,310.1
1947,0.12,310.2
1948,-0.03,310.3
1949,-0.09,310.5
1950,-0.17,310.7
1951,-0.02,311.1
1952,0.03,311.5
1953,0.12,311.9
1954,-0.09,312.4
1955,-0.09,313
1956,-0.18,313.6
1957,0.08,314.2
1958,0.1,314.9
1959,0.05,315.8
1960,-0.02,316.6
1961,0.1,317.3
1962,0.05,318.1
1963,0.03,318.7
1964,-0.25,319.2
1965,-0.15,320
1966,-0.07,321.1
1967,-0.02,322
1968,-0.09,322.9
1969,0,324.2
1970,0.04,325.2
1971,-0.1,326.1
1972,-0.05,327.2
1973,0.18,328.8
1974,-0.06,329.7
1975,-0.02,330.7
1976,-0.21,331.8
1977,0.16,333.3
1978,0.07,334.6
1979,0.13,336.9
1980,0.27,338.7
1981,0.4,339.9
1982,0.1,341.1
1983,0.34,342.8
1984,0.16,344.4
1985,0.13,345.9
1986,0.19,347.2
1987,0.35,348.9
1988,0.42,351.5
1989,0.28,352.9
1990,0.49,354.2
1991,0.44,355.6
1992,0.16,356.4
1993,0.18,357
1994,0.31,358.9
1995,0.47,360.9
1996,0.36,362.6
1997,0.4,363.8
1998,0.71,366.6
1999,0.43,368.3
2000,0.41,369.5
2001,0.56,371
2002,0.7,373.1
2003,0.66,375.6
2004,0.6,377.4
2005, , 
2006, , 
2007, , 
2008, , 
2009, , 
2010, , 
2011, , 
2012, , 
2013, , 
2014, , 
2015, , 
2016, , 
2017, , 
2018, , 
